cím;rendezo;gyarto;ev;hossz
Csernobil Öröksége: A zóna;Maczelka Márk;Magyarország;2011;105
Randiügynökség;K. Asher Levin;Amerikai Egyesült Államok;2011;82
Underworld 4.  - Az ébredés;Mans Marlind, Björn Stein;Amerikai Egyesült Államok;2011;100
A védhetetlen;Daniel Espinoza;Amerikai Egyesült Államok;2012;120
Mindenki szereti a bálnákat;Ken Kwapis;Amerikai Egyesült Államok;2012;107
A szingli fejvadász;Julie Anne Robinson;Amerikai Egyesült Államok;2011;92
Fogadom;Michael Sucsy;Amerikai Egyesült Államok;2012;104
Együtt az ég alatt;Jan Schomburg;Németország;2011;88
Polisse;Maiwenn;Franciaország;2011;127
Scooby-Doo! Rejtélyek nyomában 2. kötet;ismeretlen;Amerikai Egyesült Államok;2010;86
Tavaszolás Zsebibabával;ismeretlen;Amerikai Egyesült Államok;2004;65
Malacka/a hős;ismeretlen;Amerikai Egyesült Államok;2003;75
Micimackó;ismeretlen;Amerikai Egyesült Államok;1977;74
Borotvaélen;Asger leth;Amerikai Egyesült Államok;2012;102
A vérdíj;Ian Fitzgibbon;Egyesült Királyság, Írország;2009;88
A szerelem művészete;Emmanuel Mouret;Franciaország;2011;85
A skorpiókirály 3. - Harc a megváltásért;Roel Reiné;Amerikai Egyesült Államok;2012;101
Egy hét Marilynnel;Simon Curtis;Egyesült Királyság;2011;99
Susi és Tekergő 2: Csibész/a csavargó;ismeretlen;Amerikai Egyesült Államok;2001;69
Menyasszony csaléteknek;Sheree Folkson;Egyesült Királyság;2011;86
Delfinek és bálnák 3D: Az óceánok lakói;Jean-Jacques Mantello;Amerikai Egyesült Államok;2008;42
Az óceán mesevilága 3D;Jean-Jacques Mantello;Amerikai Egyesült Államok;2003;41
Zsarulesen;John Badham;Amerikai Egyesült Államok;1987;117
Zsarulesen 2.;John Badham;Amerikai Egyesült Államok;1993;108
Egyik kopó/másik eb;Roger Spottiswoode;Amerikai Egyesült Államok;1989;97
Anonymus;Roland Emmerich;Amerikai Egyesült Államok;2011;130
Shame - A szégyentelen;Steve McQueen;Egyesült Királyság;2011;98
The Artist - A némafilmes;Michel hazanavicius;Franciaország, Belgium, Amerikai Egyesült Államok;2011;100
Az ajtó;Szabó István;Magyarország;2011;98
Csempészek;Baltasar Kormákur;Amerikai Egyesült Államok;2012;113
Szilvás csirke;Marjane Satrapi, Vincent Paronnaud;Amerikai Egyesült Államok;2011;93
Elles;Malgorzata Szumowska;Amerikai Egyesült Államok;2011;96
LOL - Zűrös kamaszok;Lisa Azuleos;Amerikai Egyesült Államok;2008;103
TOY BOY - Selyemfiú a pácban;David Mackensie;Amerikai Egyesült Államok;2009;97
Élni vagy halni;Luc Campeau;Amerikai Egyesült Államok;2005;84
A bennfentes;Michael Mann;Amerikai Egyesült Államok;1999;157
Kvíz Show;Robert Redford;Amerikai Egyesült Államok;1994;133
